id,question,answer
121,What percentage of the population don't speak English or French at home?,28%
122,Is Canada bilingual?,Yes.
123,Did Canadian soldiers win the Battle of Vimy Ridge in 1917?,Yes
124,Is an official language of Canada German?,No.
125,How many provinces and territories does Canada have?,A federation now comprising ten provinces and three territories
126,What is Canada's national unemployment rate?,"While as of October 2007, Canada's national unemployment rate of 5.9% is its lowest in 33 years. Provincial unemployment rates vary from a low of 3.6% in Alberta to a high of 14.6% in Newfoundland and Labrador. "
127,Where is the most densely populated part of Canada?,The most densely populated part of the country is the Quebec City-Windsor Corridor along the Great Lakes and Saint Lawrence River in the southeast.
128,What is the largest country in the world?,"Canada is the second largest country in the world, after Russia, and largest on the continent."
129,What is the largest religious group in Canada?,"According to 2001 census, 77.1% of Canadians identified as being Christians; of this, Catholics make up the largest group (43.6% of Canadians). The largest Protestant denomination is the United Church of Canada; about 16.5% of Canadians declare no religious affiliation, and the remaining 6.3% were affiliated with religions other than Christianity, of which the largest is Islam numbering 1.9%, followed by Judaism: 1.1%. "
130,When did Canada have one of the largest armed forces in the world?,1944.
131,What have been inhabited for millennia by aboriginal peoples?,The lands
132,European books and maps began referring to this region as Canada in what year?,1545
133,What was Canada's most important industry until the 1800s?,The fur trade
134,Is it true that it angered many residents of the thirteen colonies?,yes
135,How do cuba and declining participation relate?,Canada maintains full relations with both.
136,Is it true that provinces have a large degree of autonomy?,yes
137,What did Canada adopt in 1965?,The Maple Leaf Flag
138,What arrived in Britain?,The first Canadian Army units in WW II
139,Are Canada 's two official languages English and French ?,yes
140,Are Canada 's official national sports ice hockey ( winter ) and lacrosse ( summer ) ?,yes
141,Is Canada a geographically vast and ethnically diverse country ?,yes
142,Did Mainland Nova Scotia not come under British rule with the Treaty of Utrecht    (: ; ?,no!
143,"Did Cartier not use the word ` Canada ' to refer to not only that village , but the entire area subject to Donnacona , Chief at Stadacona ?",yes
144,Did continental European immigrants not S08_settle the prairies ?,no
145,Is it the world 's second largest country by total area?,yes
146,What happened in 1867?,"Canada was formed as a federal, semi-autonomous polity"
147,Are ducks in the Arctic Northern Hemisphere migratory?,Some are
148,Is a drake a male?,Yes
149,"Do all ducks ""quack""?",No
150,What is the name of a specialized species of duck adapted to catch large fish?,the smew
151,What animal attracts the most humor and silliness?,The duck
152,What is an economic use of a duck?,Meat
153,Who is Daffy Duck?,A silly cartoon character
154,What makes it more difficult for a diving duck to fly?,They are heavier
155,What are the reasons for hunting wild ducks?,"Meat, eggs, and feathers"
156,Do ducks forage underwater?,yes
157,Is foie gras often made from ducks?,yes
158,What economic uses to ducks have?,"They are farmed for their meat, eggs and feathers. They are also kept and bred by aviculturists and often displayed in zoos."
159,What kind of ducks feed on land?,Dabbling ducks
160,What unrelated water birds are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots"
161,What does the word duck mean?,It is the common name for a number of species in the Anatidae family of birds.
162,What are some common predators of ducks?,"Pike, crocodilians, herons, hawks and eagles."
163,How does a Mallard's tongue work?,"It's tongue is a flat plate, and on the tongue's back end is a short liftable flap with about 18 short spikes for pushing struggling prey and other food down its throat"
164,Are diving ducks heavier tha dabbling ducks?,Yes
165,Are adult ducks fast fliers?,Yes
166,Are ducks an accepted presence in some populated areas?,Yes
167,What types of unrelated water birds with similar forms are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots"
168,Why are ducklings particularly vulnerable?,Their inability to fly.
169,What are some economic uses for duck?,"Meat,eggs,feathers"
170,What allows a duck to filter water out of the side of their beaks and keep food inside?,Tiny rows of plates called lamellae
171,What expression is part of a conceptual framework for testing computer systems?,Quacks like a duck
172,"Where did the expression ""a sitting duck"" come from?","In many areas, wild duckof various species (including ducks farmed and released into the wild) are hunted for food or sport, by shooting, or formerly by decoys."
173,Is Egypt bordered by the Gaza Strip?,yes
174,Is Egypt the most populated country in Africa?,no
175,Does Egypt have political influence in the Middle East?,yes
176,When was the Six Day War?,1967
177,What religions has Egypt outlawed?,"All but Christianity, Islam, and Judaism"
178,What is the poulation of Egypt?,more than 78 million
179,Why does most of Egypt's population live near the Nile?,"the only arable agricultural land is found there,"
180,Are there a large number of Jews living in Egypt today?,no
181,During what period was Akhenaten a Pharaoh?,The New Kingdom (c.1550&#8722;1070 BC) 
182,Is Egypt in Asia?,No.
183,Does Egypt receive the least rainfall in the world?,Yes.
184,Does Egypt's foreign policy operates along moderate lines?,Yes.
185,Since when has Egypt been a republic?,June 18 1953.
186,When were the Great Sphinx and the Pyramids of Giza built?,During the Old Kingdom.
187,What countries border Egypt?,"Libya, Sudan, the Gaza Strip and Israel."
188,What is the estimated population of Egypt?,More than 78 million.
189,Does snow fall in Egypt?,Yes.
190,When did organized agriculture appear in the Nile Valley?,6000 BC.
191,Are elephants the largest land animals alive today?,yes
192,Can an elephant kill a rhinoceros?,yes
193,Are elephants good swimmers?,yes
194,How many living species of African Elephants are there?,2
195,How long may elephants live?,70 years
196,Why does the phrase 'elephants never forget' have no metaphorical meaning?,it refers literally to elephants supposedly having an excellent memory
197,How many living species of Asian Elephants are there?,1
198,How much do elephants weight at birth?,120 kilograms
199,What did Aristotle say about elephants?,the beast which pasS08_seth all others in wit and mind
200,Are elephant populations in West Africa generally small and fragmented?,yes
201,Is the Asian elephant larger than the African?,no
202,Is an elephant's skin tough?,yes
203,How do elephants communicate over long distances?,by producing and receiving low frequency sound
204,When do African elephants lie down?,when they are sick or wounded
205,How long is the elephant's gestation period?,22 months
206,How many species of African elephants have been proposed?,three
207,What are the elephant's ears important for?,temperature regulation
208,What land animal has the largest brain?,elephant
209,Are elephants mammals?,yes
210,Have elephants been used as working animals?,yes
211,Do they prefer forested areas?,Yes
212,What is the world population of Asian elephants?,60000
213,What part of an elephant is very important for temperature regulation?,Ears
214,Where was the largest elephant ever recorded shot?,Angola
215,Is an Asian elephant smaller than an African elephant?,yes
216,What land animal is larger than an elephant?,"None, the elephant is the largest land animal."
217,Has tusklessness become a rare abnormality?,No
218,Were the treaties signed in 1947 and 1948 with the Ukraine?,no
219,Is Finnish a member of the Baltic-Finnic subgroup of the Uralic languages?,yes
220,Is the most read newspaper in Finland Taloussanomat?,no
221,Which Russian army general conquered Finland in 1809?,Alexander I
222,What is the life expectancy for men in Finland?,75 years
223,"In what year were the ""Games of the XV Olympiad"" held?",1952
224,What body of water lies to the south of Finland?,the Gulf of Finland
225,Name an animal that is growing in number due to recent conservation efforts,"Golden Eagle, Brown Bear, or Eurasian Lynx (Change imperative to interrogative)"
226,"Today, are there more cell phone subscriptions than people in Finland?",yes
227,Is Matti Vanhanen the Prime Minister of Finland?,yes
228,Is the capital city Oslo?,no
229,Does it have a border with Norway?,yes
230,What is the life expectancy for men?,75 years
231,What is the biggest city in Finland?,Greater Helsinki
232,Who is the most popular rock group in Finland?,CMX
233,What is Finland's economy like?,"a highly industrialised, free-market economy"
234,Where is Finland located?,Northern Europe
235,What is the weather like in summer?,relatively warm
236,Does salmon remain the favorite of fly rod enthusiasts?,Yes
237,Are there cathedrals scattered all across Finland?,Yes
238,"According to Reader's Digest, is Finland best for living?",Yes
239,When did the first verifiable written documents appear?,Twelfth Century
240,What is the capital city?,Helsinki
241,What is the most extensively celebrated holiday?,Christmas
242,Does a large proportion of the population speak Swedish as its mother tongue?,No
243,Do women live longer than men?,Yes
244,What is a country with which Finland is involved in an international conflict?,Finland is not involved in international conflicts or border disputes. 
245,Was Ford a member of the House of Representatives?,Yes
246,For how long was Ford a member of the House of Representatives?,Over eight years.
247,Was Gerald Ford a member of Delta Kappa Epsilon?,Yes
248,"Did ford get an award called ""Congressman's congressman""?",Yes
249,Did ford attend the University of Michigan?,Yes
250,What positions Ford played in the school football team?,Center and linebacker
251,What did Ford say about his biological father?,He was abusive and had a history of hitting his mother.
252,Who did Ford nominate for Vice President?,Bob Dole
253,Was Ford active about Vietnamese affairs?,No
254,hard,hard
255,Had Ford's wife married before?,Yes
256,Is Ford related with the assassination of John F. Kennedy?,Yes
257,Was Gerald Ford the 38th President of the United States?,yes
258,Did Gerald Ford serve as the Republican Minority Leader of the House of Representatives?,yes
259,Was Ford an Eagle Scout?,yes
260,What district was Ford elected from?,Michigan's 5th congressional district
261,How many Eagle Scouts were involved in Ford's funeral procession?,400
262,Which future Heisman Trophy winner did Ford tackle?,Jay Berwanger
263,Has another US President been an Eagle Scout?,no
264,Did Ford need to do extra work to pay for college?,yes
265,Have more than five Presidents lived past the age of 90?,no
266,How do kwajalein and eniwetok relate?,The Monterey supported landings at both locations.
267,"What did Ford receive on April 13, 1942?",Ford received a commission as ensign in the US Naval Reserve.
268,Was Ford released from the hospital?,Yes.
269,"Was Ford interred at his Presidential Museum in Grand Rapids, Michigan?",Yes.
270,Is Ford one of only four former Presidents to live to 90 or more years of age ?,Yes.
271,Was Ford the last surviving member of the Warren Commission ?,Yes.
272,"Did Grand Rapids supporters not urge him to take on Bartel J. Jonkman , the incumbent Republican congressman ?",No.
273,Did they not claim Ford 's pardon was quid pro quo in exchange for Nixon 's resignation ?,They did claim Ford's pardon was quid pro quo.
274,Does Ghana have twice the per capita output of the poorer countries in West Africa?,yes
275,Is English Ghana's official language?,yes
276,Did the Dutch build the Elmina Castle?,No
277,When did Ghana achieve independence from the United Kingdom?,1957
278,How many regions is Ghana divided into?,10
279,Who is the head of state of Ghana?,President John Agyekum Kofuor
280,What is the dominant religion in Ghana?,Christian
281,What are the two subfamilies of the Native Ghanaian languages?,Kwa and Gur
282,What is the weather like at Lake Volta?,Warm and comparatively dry
283,Is Ghana in Asia?,no
284,Is English the official language?,yes
285,Is Ghana's head of state John Agyekum Kufuor?,yes
286,What does the word Ghana mean?,warrior king
287,Who was Kwame Nkrumah?,founder and first president
288,Where is old Ghana in relation to present Ghana?,500 miles north
289,Who makes up Ghana's Parliament?,the New Patriotic Party and National Democratic Congress
290,What European countries established states in Ghana?,The UK
291,Does the Gray Wolf share an ancestry with the domestic dog?,Yes
292,Do wolf pups tend to have darker fur than adults?,Yes
293,Do wolves leave their pack?,Yes
294,What kinds of coats do wolves have?,bulky coats with two layers
295,Where do wolves have scent glands?,Helping the woldf to effectively navigate over large expanses while concurrently keeping others informed of its whereabouts.
296,How much do wolves weigh?,typically varies between 32 and 62 kilograms
297,Why do wolves howl?,"Howling helps pack members keep in touch, allowing them to communicate effectively in thickly forested areas or over great distances. Howling also helps to call pack members to a specific location. Howling can also serve as a declaration of territory, as shown in a dominant wolf&apos;s tendency to respond to a human imitation of a ""rival"" wolf in an area the wolf considers its own. "
298,What is surplus killing?,Surplus killing is defined as the killing of several prey animals too numerous to eat at one sitting.
299,Are Gray Wolves native to North America?,Yes
300,Is the Gray Wolf a mammal?,Yes
301,Are a wolf's teeth its main weapons?,Yes
302,Are wolves built for stamina?,Yes
303,Where is the largest gray wolf population thought to be found?,Kazakhstan
304,To what genus does the gray wolf belong?,Canis
305,When do wolves molt?,Late Spring or Early Summer
306,Why is it beneficial for alpha males and females to forcefully prevent other wolves from mating?,A pack can only suppport one littler per year
307,What type of tools do biologists use to capture wolves for tagging?,Darting and Foot hold traps.
308,"Forward, erect ears and slightly bristle hackles are a sign of what in wolves?",Dominance
309,Was Grover Cleveland born in New York?,no
310,Did Grover Cleveland win the 1884 election?,yes
311,Did Grover Cleveland support women's suffrage?,No
312,Where was Grover Cleveland married?,In the White House
313,What did Cleveland die from?,A heart attack
314,How many years after Cleveland left office did the U.S. win the Spanish-American War?,One Year
315,What did Cleveland's opponents say in 1884 to counter his innocent image?,That he had fathered an illegitimate child
316,Who did Cleveland run against in 1884?,former Senator James G. Blaine of Maine
317,Why did Cleveland want to hide his cancer surgery from the public?,To avoid further market panic
318,Was Grover Cleveland the twenty-seventh president of the United States?,No.
319,Is Grover Cleveland honest?,Yes.
320,Was Grover Cleveland married in the whitehouse?,Yes.
321,"When was he elected sheriff of Erire County, New York?",Yes.
322,When did he die?,June 24 1908
323,Which election did Grover Cleveland win?,1884 and 1892 presidential elections
324,Who were Grover Cleveland's parents?,"Cleveland was born in Caldwell, New Jersey to the Reverend Richard Cleveland and Anne Neal."
325,How many children did Grover Cleveland have?,5
326,Who lost control of his party to the agrarians and silverites in 1896?,Grover Cleveland
327,Is it true that he sent in federal troops to chicago?,yes
328,"Was Cleveland born in Caldwell, New Jersey to the Reverend Richard Cleveland and Anne Neal?",yes
329,"Was Grover Cleveland elected Sheriff of Erie County, New York?",yes
330,Was Cleveland 's portrait on the U.S. $ 1000 bill from 1928 to 1946 ?,yes
331,Is he buried in the Princeton Cemetery of the Nassau Presbyterian Church ?,yes
332,Did the Department of the Interior not charge that the rights of way for this land must be returned to the public because the railroads failed to extend their lines according to agreements ?,yes
333,"Did the team , sedating Cleveland with nitrous oxide -LRB- laughing gas -RRB- , not remove his upper left jaw and portions of his hard palate ?",yes
334,He became chief engineer in the Department of Bridges and Highways in what year?,in 1894
335,What led Becquerel to investigate the spontaneous emission of nuclear radiation?,phographic plates being fully exposed
336,Is it true that he married louise désirée lorieux in 1890?,yes
337,Is it true that he shared the nobel prize in physics?,yes
338,When did he marry louise désirée lorieux?,1890
339,Was Becquerel elected Permanent Secretary of the Académie des Sciences?,yes
340,"Was Becquerel born in Paris into a family which, including he and his son Jean, produced four generations of scientists?",yes
341,Who won the 1903 Nobel Prize in Physics for discovering radioactivity ?,Henri Becquerel
342,Did he not die at the age of 55 in Le Croisic ?,Yes he died at the age of 55
343,Did one places between the phosphorescent substance and the paper a piece of money or a metal screen not pierce with a cut-out design ?,yes
344,What happened in 1896?, Becquerel accidentally discovered radioactivity.
345,What happened with a bromide emulsion in two sheets of very thick black paper?,the plate does not become clouded upon being exposed to the sun for a day
346,Is there a becquerel crater on the moon and a becquerel crater on mars?,yes
347,Are the Javanese the largest and politically dominant ethnic group in Indonesia?,yes
348,Is Indonesia a monarchy with a presidential system?,no
349,Did the Japanese invasion and subsequent occupation during WWII end Dutch rule?,yes
350,In what year did East Timor secede from Indonesia?,1999
351,When did Islam become the dominant religion in Java and Sumatra?,the end of the 16th century
352,Does Indonesia have the world's hightest level of biodiversity?,no
353,Was Indonesia named after it became an independent country?,no
354,Why did Indonesia break off relations with the People's Republic of China?,because of anti-communist purges early in the Suharto era
355,Which spice originally attracted Europeans to Indonesia?,"nutmeg, cloves, or cubeb pepper"
356,What is Jakarta?,Indonesia's special capital region
357,"What shares land borders with Papua New Guinea, East Timor and Malaysia?",Indonesia
358,What are the largest and politically dominant ethnic group?,the Javanese
359,What happens when the srivijaya kingdom formed trade links?,The indonesian archipelago became an important trade region
360,Is it true that indonesia has vast areas of wilderness?,yes
361,Is Indonesia a republic?,yes
362,Are Sports in Indonesia generally male-orientated?,yes
363,Is Indonesia the world's largest archipelagic state?,yes
364,Are sports in Indonesia generally male-orientated and spectator sports are often associated with illegal gambling ?,yes
365,Is Pencak Silat an Indonesian martial art ?,yes
366,Has Indonesia the world 's largest Muslim population ?,yes
367,Who has its own political legislature and governor ?,each province
368,Is it the world 's largest archipelagic state?,yes
369,Is it the world 's fourth most populous country and the most populous muslim-majority nation?,yes
370,Is indonesia a republic?,yes
371,Is James Monrow the fifth president of US?,Yes
372,What is the first word on the page?,James
373,What is the first number on the page?,28
374,When did Monroe's presidency expired?,"March 4, 1825"
375,What is Monroe's father's name?,Spence
376,What is Monroe's daughter's name?,Maria Hester Monroe Gouverneur
377,"What does ""Era of Good Feelings"" refers to?",Reduced tension
378,Did Monroe' wedding happen at the Trinity Church in New York?,Yes
379,What is Monroe Doctrine?,A doctrine declaring U.S. opposition to European interference in the Americas.
380,Was James Monroe President of the United States?,yes
381,Did James Monroe attend the College of William and Mary?,yes
382,Did James Monroe fight in the Continental Army?,yes
383,Where was James Monroe born?,"Westmoreland County, Virginia"
384,Where was James Monroe shot?,"at the Battle of Trenton, in his left shoulder"
385,Who did James Monroe marry?,Elizabeth Kortright
386,What did James Monroe do before being elected governor?,He practiced law in Virginia.
387,In which years were John Monroe elected as President?,1817-1825
388,Who was John Monroe standing behind in the painting of  Washington Crossing the Delaware?,George Washington
389,When was James Monroe appointed to Secretary of War?,1814
390,When did James Monroe die?,"July 4, 1831"
391,When did James Monroe graduate from William and Mary?,1776
392,When was James Monroe elected president?,"Monroe was elected president in the election of 1816, and re-elected in 1820."
393,Which property did James Monroe sell in 1817?,Monroe Hill on the grounds of the University of Virginia.
394,When did James Monroe introduce the Monroe Doctrine?,"December 2, 1823"
395,Who did James Monroe live with in New York City?,His daughter Maria Hester Monroe Gouverneur
396,What did James Monroe's letters not contain?,No letters survive in which he might have discussed his religious beliefs.
397,What was the result of the rejection of the Jay Treaty?,"As a result, the two nations moved closer toward the War of 1812. "
398,Who is depicted holding the flag in the famous painting of Washington Crossing the Delaware?,Monroe
399,"What dwindled and eventually died out, starting with the Hartford Convention?",The Federalist Party
400,Is it true that he practiced law in fredericksburg?,yes
401,What did James Monroe make in 1817?,two long tours
402,Was Monroe anticlerical?,no
403,Was Monroe appointed Minister to France from 1794 to 1796?,yes
404,What expired on March?,Monroe's presidency
405,Had Monroe racked up many debts during his years of public life ?,yes
406,Who dismantled partisan and sectional coalitions ?,many congressmen
407,What happened in 1811?,Monroe returned to the Virginia House of Delegates and was elected to another term as governor of Virginia
408,What happened in the election of 1816?,Monroe was elected president
409,Who died in childbirth in 1772?,Margaret Miller
410,Who died in 1832?,Margaret Miller.
411,"Is watt commemorated by statuary in George Square, Glasgow and Princes Street, Edinburgh?",Yes.
412,"Was watt a gentleman, greatly respected by other prominent men of the Industrial Revolution?",Yes.
413,Was watt a fellow of the Royal Society of Edinburgh and the Royal Society of London?,Yes.
414,"Four years after opening his shop , Watt began what?","Watt began to experiment with steam after his friend, Professor John Robison, called his attention to it."
415,Was Watt ranked 22nd in Michael H. Hart 's list of the most influential figures in history ?,Yes.
416,Did John Adams represent the Continental Congress in Europe?,Yes.
417,Was Adams raised Congregationalist?,Yes.
418,Was Adams an opponent of the Stamp Act?,Yes.
419,When did Adams graduate from college?,1755.
420,Who was on the committee with Adams to draft  a Declaration of Independence?,"Thomas Jefferson, Benjamin Franklin, Robert R. Livingston and Roger Sherman."
421,What did Jefferson call John Adams?,"The ""Colossus of Independence""."
422,What was Adams' political party?,The Federalist Party.
423,Was Adams the first to introduce a bicameral legislature?,Yes.
424,Did John Adams get along with Alexander Hamilton?,No.
425,Did John Adams go to Harvard? ,yes
426,Did John Adams support the Stamp Act of 1765?,No
427,Is Adams' birthplace part of a national park?,yes
428,When did John Adams serve as Vice President?,1789-1797
429,With what party did Adams run for presidency?,The Federalist Party
430,Where is Adams buried?,United First Parish Church
431,Who were the midnight judges?,"They were a series of judges, so called because most of them were formally appointed days before Adams' presidential term expired"
432,In what ways was Adams opposed by Anderw Hamilton?,Hamilton wanted to control the army differently than Adams
433,What information did he record in his diary?,Descriptions of events and ompressions of men
434,Who was defeated for re-election in the`` Revolution of 1800'' by Thomas Jefferson?,John Adams
435,Who represented the Continental Congress in Europe?,John Adams
436,What is now part of Adams National Historical Park?,John Adams' birthplace
437,Is it true that adams had spent some time as the ambassador?,yes
438,Is it true that massachuS08_setts sent him in 1774?,yes
439,Who did MassachuS08_setts send in 1774?,John Adams
440,"Are his last words often quoted as "" Thomas Jefferson survives "" . ?",yes
441,"The John Adams Library , housed at the Boston Public Library , contains what?","Adams's personal collection of more than 3,500 volumes"
442,Adams ' opponents were what?,Democratic Republicans
443,"Did the election of 1800 not become a bitter and volatile battle , with each side expressing extraordinary fear of the other party and its policies ?",No.
444,What happened in 1764?,Adams married Abigail Smith
445,Is a kangaroo a reptile?,no
446,Is a kangaroo on the Australian coat of arms?,yes
447,"Was James Cook the first to record the name ""Kangooroo?""",yes
448,What is a collective noun for kangaroos?,"mob, troop, or court"
449,Where do joeys complete postnatal development?,marsupium
450,"What do kangaroos use for ""crawl-walking?""",its hind feet
451,Why do kangaroos have a wide bite?,The two sides of the lower jaw are not joined together and the lower incisors are farther apart.
452,What is responsible for converting the hydrogen byproduct of fermentation into acetate?,bacteria
453,Are wild kangaroos shot for meat?,yes
454,Have kangaroos fared well since European S08_settlement?,yes
455,Do kangaroos have many natural predators?,no
456,What is the average life expectancy of a kangaroo?,4.6 years
457,When did the first official report of kangaroo blindness take place?,1994
458,What are vehicles that frequent isolated roads often fitted with?,roo bars
459,Do kangaroos eat plants?,yes
460,What are some extinct predators of the kangaroo?,"Thylacine, Marsupial Lion, Maagalania, and Wonambi"
461,Is a Kangaroo a Marsupial?,Yes
462,Is the kangaroo an herbivour?,Yes
463,Are Kangaroos Shy?,Yes
464,What method of locomotion do Kangaroos Use?,hopping
465,What is a collective noun for a kangaroo?,"a mob, troop, or court"
466,What is a roo?,a kangaroo
467,What is used to protect a vehicale from a Kangaroo?,roo bars
468,What method is used by Kangaroos to travel?,hopping
